type_id,lat,lng,type,id,district
270,30.7049865259726,104.091848996955,pk,203,成华区
271,30.6628047277716,104.089350543524,pk,204,锦江区
272,30.709956300266,104.093173261637,pk,205,成华区
273,30.6637712336535,104.092434335062,pk,206,成华区
274,30.6643953251378,104.093086725895,pk,207,成华区
276,30.7116623603835,104.094172205719,pk,208,成华区
277,30.7123533193541,104.091068494078,pk,209,成华区
278,30.6979509320234,104.090003928015,pk,210,成华区
279,30.7064446016045,104.093938143656,pk,211,成华区
280,30.7096378568089,104.096949529562,pk,212,成华区
281,30.7176853530018,104.096376279742,pk,213,成华区
282,30.7024456440071,104.096936114373,pk,214,成华区
283,30.7031435984441,104.098421034665,pk,215,成华区
284,30.6596468178785,104.098437287723,pk,216,成华区
285,30.6590140534875,104.099757918599,pk,217,成华区
286,30.6681213149827,104.097524647728,pk,218,成华区
287,30.6815884328701,104.096102251096,pk,219,成华区
288,30.6672447473047,104.09878074442,pk,220,成华区
289,30.6811316935213,104.100354589288,pk,221,成华区
291,30.6595207277522,104.100708705208,pk,222,成华区
292,30.705149248115,104.100175267718,pk,223,成华区
293,30.6709645284606,104.101281239827,pk,224,成华区
296,30.6572660260633,104.102294149284,pk,225,成华区
297,30.6812059258878,104.100471985218,pk,226,成华区
298,30.6829976602191,104.104100914599,pk,227,成华区
299,30.6649758369776,104.102504971672,pk,228,成华区
300,30.7153573651765,104.106502661566,pk,229,成华区
301,30.6700836106231,104.103971512761,pk,230,成华区
302,30.6697811830505,104.109115743826,pk,231,成华区
303,30.6777661654429,104.105825503044,pk,232,成华区
304,30.6728230873744,104.107889141222,pk,233,成华区
306,30.6728354634271,104.107883332923,pk,234,成华区
310,30.6851701994538,104.112901787376,pk,235,成华区
312,30.670131259824,104.11781328932,pk,236,成华区
313,30.669968899827,104.117892211143,pk,237,成华区
314,30.6688888217262,104.118566819525,pk,238,成华区
315,30.672603261169,104.122539899636,pk,239,成华区
317,30.7129210399829,104.12479172737,pk,240,成华区
318,30.7061146008271,104.069600957245,pk,241,成华区
319,30.7122671627101,104.069981551428,pk,242,成华区
320,30.6844356972411,104.087927625763,pk,243,成华区
321,30.661750256428,104.071070268883,pk,244,青羊区
323,30.6970822635291,104.070388437937,pk,245,金牛区
324,30.7017186653334,104.096491083197,pk,246,成华区
325,30.6788021021021,104.07240834692,pk,247,青羊区
326,30.6752671475262,104.083697998834,pk,248,金牛区
327,30.6621894751468,104.078731649675,pk,249,锦江区
328,30.6589060381944,104.081536020571,pk,250,锦江区
329,30.6623427047308,104.07174608787,pk,251,青羊区
330,30.6757414126297,104.091665352205,pk,252,成华区
331,30.6814085169955,104.078348790366,pk,253,金牛区
332,30.6911075745903,104.041659091213,pk,254,金牛区
333,30.6763271499936,104.09009952748,pk,255,成华区
334,30.7039511576625,104.092954578831,pk,256,成华区
335,30.6622686103169,104.083228864659,pk,257,锦江区
336,30.6759981772333,104.053622799745,pk,258,青羊区
337,30.7124024077038,104.068089322781,pk,259,金牛区
338,30.6735835100665,104.072674317914,pk,260,青羊区
