,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
50822,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,6,2,1,2,2,45000,40,24.480849,118.0831115,0
50823,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,6,2,1,2,2,45000,40,24.480849,118.0831115,0
50824,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,6,2,1,2,2,45000,40,24.480849,118.0831115,0
50825,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,6,2,1,2,2,45000,40,24.480849,118.0831115,0
51542,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,0,1,0,0,49,60,24.4785525,118.08548449999999,0
51543,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,0,1,0,0,49,60,24.4785525,118.08548449999999,0
51544,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,0,1,0,0,49,60,24.4785525,118.08548449999999,0
51545,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,0,1,0,0,49,60,24.4785525,118.08548449999999,0
52262,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,4,0,3,3,45000,40,24.459502,118.08732450000001,0
52263,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,4,0,3,3,45000,40,24.459502,118.08732450000001,0
52264,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,4,0,3,3,45000,40,24.459502,118.08732450000001,0
52265,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,4,0,3,3,45000,40,24.459502,118.08732450000001,0
52982,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,0,0,1,1,-1,60,24.481476500000003,118.09114850000002,1
52983,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,0,0,1,1,-1,60,24.481476500000003,118.09114850000002,1
52984,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,0,0,1,1,-1,60,24.481476500000003,118.09114850000002,1
52985,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,0,0,1,1,-1,60,24.481476500000003,118.09114850000002,1
53702,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,3,5,1,1,1,-1,60,24.496899499999998,118.111709,2
53703,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,3,5,1,1,1,-1,60,24.496899499999998,118.111709,2
